timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/09 12:40:37.000, 120 MHz, 3996 MHz, 191.07 W, 36
2026/09/09 12:40:37.111, 120 MHz, 3996 MHz, 191.07 W, 36
2026/09/09 12:40:37.211, 120 MHz, 3996 MHz, 191.16 W, 36
2026/09/09 12:40:37.311, 120 MHz, 3996 MHz, 191.28 W, 36
2026/09/09 12:40:37.411, 772 MHz, 3996 MHz, 191.60 W, 36
2026/09/09 12:40:37.511, 772 MHz, 3996 MHz, 192.29 W, 36
2026/09/09 12:40:37.612, 1965 MHz, 3996 MHz, 195.71 W, 36
2026/09/09 12:40:37.712, 1965 MHz, 3996 MHz, 201.96 W, 36
2026/09/09 12:40:37.812, 1965 MHz, 3996 MHz, 222.24 W, 36
2026/09/09 12:40:37.912, 1965 MHz, 3996 MHz, 243.38 W, 38
2026/09/09 12:40:38.012, 1965 MHz, 3996 MHz, 268.43 W, 39
2026/09/09 12:40:38.112, 1965 MHz, 3996 MHz, 274.81 W, 39
2026/09/09 12:40:38.212, 1965 MHz, 3996 MHz, 281.20 W, 38
2026/09/09 12:40:38.312, 1965 MHz, 3996 MHz, 288.87 W, 38
2026/09/09 12:40:38.412, 1965 MHz, 3996 MHz, 296.77 W, 37
2026/09/09 12:40:38.512, 1965 MHz, 3996 MHz, 300.58 W, 37
2026/09/09 12:40:38.612, 1965 MHz, 3996 MHz, 303.45 W, 37
2026/09/09 12:40:38.713, 1965 MHz, 3996 MHz, 305.66 W, 37
2026/09/09 12:40:38.813, 1965 MHz, 3996 MHz, 306.34 W, 39
2026/09/09 12:40:38.913, 1965 MHz, 3996 MHz, 306.40 W, 39
2026/09/09 12:40:39.013, 1965 MHz, 3996 MHz, 306.28 W, 39
2026/09/09 12:40:39.113, 1965 MHz, 3996 MHz, 305.17 W, 38
2026/09/09 12:40:39.213, 1965 MHz, 3996 MHz, 305.17 W, 38
2026/09/09 12:40:39.313, 1965 MHz, 3996 MHz, 306.22 W, 38
2026/09/09 12:40:39.413, 1965 MHz, 3996 MHz, 306.10 W, 38
2026/09/09 12:40:39.513, 1965 MHz, 3996 MHz, 305.32 W, 38
2026/09/09 12:40:39.613, 1965 MHz, 3996 MHz, 305.27 W, 38
2026/09/09 12:40:39.713, 1965 MHz, 3996 MHz, 305.31 W, 38
2026/09/09 12:40:39.814, 1965 MHz, 3996 MHz, 307.98 W, 38
2026/09/09 12:40:39.914, 1965 MHz, 3996 MHz, 308.42 W, 39
2026/09/09 12:40:40.014, 1965 MHz, 3996 MHz, 308.20 W, 40
2026/09/09 12:40:40.114, 1965 MHz, 3996 MHz, 303.99 W, 40
2026/09/09 12:40:40.214, 1965 MHz, 3996 MHz, 304.84 W, 39
2026/09/09 12:40:40.314, 1965 MHz, 3996 MHz, 303.99 W, 38
2026/09/09 12:40:40.414, 1965 MHz, 3996 MHz, 304.01 W, 38
2026/09/09 12:40:40.514, 1965 MHz, 3996 MHz, 304.77 W, 38
2026/09/09 12:40:40.614, 1965 MHz, 3996 MHz, 303.89 W, 38
2026/09/09 12:40:40.714, 1965 MHz, 3996 MHz, 304.88 W, 38
2026/09/09 12:40:40.815, 1965 MHz, 3996 MHz, 307.21 W, 38
2026/09/09 12:40:40.915, 1965 MHz, 3996 MHz, 307.10 W, 39
2026/09/09 12:40:41.015, 1965 MHz, 3996 MHz, 308.03 W, 40
2026/09/09 12:40:41.115, 1965 MHz, 3996 MHz, 304.57 W, 40
2026/09/09 12:40:41.215, 1965 MHz, 3996 MHz, 304.60 W, 39
2026/09/09 12:40:41.315, 1965 MHz, 3996 MHz, 304.71 W, 38
2026/09/09 12:40:41.415, 1965 MHz, 3996 MHz, 305.58 W, 38
2026/09/09 12:40:41.515, 1965 MHz, 3996 MHz, 304.74 W, 38
2026/09/09 12:40:41.615, 1965 MHz, 3996 MHz, 305.67 W, 38
2026/09/09 12:40:41.716, 1965 MHz, 3996 MHz, 304.73 W, 38
2026/09/09 12:40:41.816, 1965 MHz, 3996 MHz, 307.08 W, 38
2026/09/09 12:40:41.916, 1965 MHz, 3996 MHz, 306.98 W, 39
2026/09/09 12:40:42.016, 1965 MHz, 3996 MHz, 304.59 W, 40
2026/09/09 12:40:42.116, 1965 MHz, 3996 MHz, 305.90 W, 40
