# trace records: appended=6864 stored=6864
# seq[0]=0
# seq[1]=4
# seq[2]=264
# seq[3]=34
# seq[4]=132
# seq[5]=260
# seq[6]=0
# seq[7]=1024
# seq[8]=1024
# seq[9]=4096
# seq[10]=32
# seq[11]=4
# seq[12]=0
# seq[13]=0
# seq[14]=0
# seq[15]=0
kind,bx,by,rank,warp,lane,smid,seq,t,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
10,0,0,0,0,0,0,1,1788983405570700320,1024,16778240,1024,1024,0,0,0,0,0,0
10,1,0,1,0,0,1,0,1788983405570700320,16778240,1024,1024,1024,1,0,1,0,0,0
10,0,1,2,0,0,16,2,1788983405570700320,33555456,50332672,1024,33555456,0,1,16,0,0,0
10,1,1,3,0,0,17,3,1788983405570700320,50332672,33555456,1024,33555456,1,1,17,0,0,0
10,2,0,0,0,0,2,5,1788983405570700320,1024,16778240,1024,1024,0,0,2,0,0,0
10,3,0,1,0,0,3,4,1788983405570700320,16778240,1024,1024,1024,1,0,3,0,0,0
10,2,2,0,0,0,6,6,1788983405570700320,1024,16778240,1024,1024,0,0,6,0,0,0
10,3,2,1,0,0,7,7,1788983405570700320,16778240,1024,1024,1024,1,0,7,0,0,0
10,2,3,2,0,0,22,11,1788983405570700320,33555456,50332672,1024,33555456,0,1,22,0,0,0
10,3,3,3,0,0,23,9,1788983405570700320,50332672,33555456,1024,33555456,1,1,23,0,0,0
10,3,1,3,0,0,19,10,1788983405570700320,50332672,33555456,1024,33555456,1,1,19,0,0,0
10,2,1,2,0,0,18,8,1788983405570700320,33555456,50332672,1024,33555456,0,1,18,0,0,0
10,0,2,0,0,0,4,12,1788983405570700992,1024,16778240,1024,1024,0,0,4,0,0,0
10,1,2,1,0,0,5,13,1788983405570700992,16778240,1024,1024,1024,1,0,5,0,0,0
10,1,3,3,0,0,21,14,1788983405570701024,50332672,33555456,1024,33555456,1,1,21,0,0,0
10,0,3,2,0,0,20,15,1788983405570701024,33555456,50332672,1024,33555456,0,1,20,0,0,0
10,0,0,0,0,0,0,16,1788983405570701600,0,0,1024,0,0,0,0,0,0,1
10,1,0,1,0,0,1,17,1788983405570701632,0,1,16778240,0,0,0,0,0,0,1
10,1,1,3,0,0,17,19,1788983405570701632,0,3,50332672,0,0,0,0,0,0,1
10,0,1,2,0,0,16,18,1788983405570701632,0,2,33555456,0,0,0,0,0,0,1
10,2,0,0,0,0,2,21,1788983405570701664,0,0,1024,0,0,0,0,0,0,1
10,3,0,1,0,0,3,20,1788983405570701664,0,1,16778240,0,0,0,0,0,0,1
10,2,2,0,0,0,6,22,1788983405570701696,0,0,1024,0,0,0,0,0,0,1
10,2,3,2,0,0,22,27,1788983405570701696,0,2,33555456,0,0,0,0,0,0,1
10,3,2,1,0,0,7,25,1788983405570701696,0,1,16778240,0,0,0,0,0,0,1
10,2,1,2,0,0,18,26,1788983405570701696,0,2,33555456,0,0,0,0,0,0,1
10,3,3,3,0,0,23,24,1788983405570701696,0,3,50332672,0,0,0,0,0,0,1
10,3,1,3,0,0,19,23,1788983405570701696,0,3,50332672,0,0,0,0,0,0,1
10,0,2,0,0,0,4,28,1788983405570702720,0,0,1024,0,0,0,0,0,0,1
10,1,2,1,0,0,5,29,1788983405570702720,0,1,16778240,0,0,0,0,0,0,1
10,0,3,2,0,0,20,30,1788983405570702720,0,2,33555456,0,0,0,0,0,0,1
10,1,3,3,0,0,21,31,1788983405570702752,0,3,50332672,0,0,0,0,0,0,1
7,0,0,0,1,0,0,0,1788983405571177792,0,1,0,1232,0,0,0,0,0,0
4,1,0,1,2,0,1,0,1788983405571177824,0,128,0,16812032,8192,16778240,0,0,0,0
4,0,0,0,2,0,0,1,1788983405571177824,0,0,0,34816,8192,1024,0,0,0,0
4,1,1,3,2,0,17,2,1788983405571177824,0,192,0,50374656,8192,50332672,0,0,0,0
4,0,1,2,2,0,16,3,1788983405571177856,0,64,0,33597440,8192,33555456,0,0,0,0
1,0,0,0,0,0,0,1,1788983405571177856,1024,1024,1088,1232,1248,1296,1360,1376,34816,165888
1,1,0,1,0,0,1,0,1788983405571177856,16778240,16778240,16778304,16778448,16778464,16778512,16778576,16778592,16812032,16943104
