timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/11 14:13:09.246, 120 MHz, 3996 MHz, 188.60 W, 31
2026/09/11 14:13:09.351, 120 MHz, 3996 MHz, 188.59 W, 31
2026/09/11 14:13:09.451, 120 MHz, 3996 MHz, 188.72 W, 31
2026/09/11 14:13:09.551, 787 MHz, 3996 MHz, 189.17 W, 31
2026/09/11 14:13:09.651, 787 MHz, 3996 MHz, 190.01 W, 31
2026/09/11 14:13:09.752, 787 MHz, 3996 MHz, 190.60 W, 31
2026/09/11 14:13:09.852, 787 MHz, 3996 MHz, 191.32 W, 31
2026/09/11 14:13:09.952, 1965 MHz, 3996 MHz, 196.48 W, 31
2026/09/11 14:13:10.052, 1965 MHz, 3996 MHz, 202.57 W, 32
2026/09/11 14:13:10.152, 1965 MHz, 3996 MHz, 220.10 W, 33
2026/09/11 14:13:10.252, 1965 MHz, 3996 MHz, 242.33 W, 34
2026/09/11 14:13:10.352, 1965 MHz, 3996 MHz, 272.68 W, 36
2026/09/11 14:13:10.452, 1965 MHz, 3996 MHz, 281.28 W, 33
2026/09/11 14:13:10.552, 1965 MHz, 3996 MHz, 287.18 W, 33
2026/09/11 14:13:10.652, 1965 MHz, 3996 MHz, 292.75 W, 33
2026/09/11 14:13:10.752, 1965 MHz, 3996 MHz, 298.24 W, 33
2026/09/11 14:13:10.853, 1965 MHz, 3996 MHz, 305.49 W, 32
2026/09/11 14:13:10.953, 1965 MHz, 3996 MHz, 305.63 W, 32
2026/09/11 14:13:11.053, 1965 MHz, 3996 MHz, 304.67 W, 32
2026/09/11 14:13:11.153, 1965 MHz, 3996 MHz, 295.14 W, 32
2026/09/11 14:13:11.253, 1965 MHz, 3996 MHz, 294.93 W, 34
2026/09/11 14:13:11.353, 1965 MHz, 3996 MHz, 284.00 W, 34
2026/09/11 14:13:11.453, 1965 MHz, 3996 MHz, 300.18 W, 35
2026/09/11 14:13:11.553, 1965 MHz, 3996 MHz, 301.76 W, 33
2026/09/11 14:13:11.653, 1965 MHz, 3996 MHz, 301.76 W, 33
2026/09/11 14:13:11.754, 1965 MHz, 3996 MHz, 302.08 W, 33
2026/09/11 14:13:11.854, 1965 MHz, 3996 MHz, 302.10 W, 33
2026/09/11 14:13:11.954, 1965 MHz, 3996 MHz, 301.20 W, 33
2026/09/11 14:13:12.054, 1965 MHz, 3996 MHz, 302.14 W, 33
2026/09/11 14:13:12.154, 1965 MHz, 3996 MHz, 301.26 W, 33
2026/09/11 14:13:12.254, 1965 MHz, 3996 MHz, 296.85 W, 34
2026/09/11 14:13:12.354, 1965 MHz, 3996 MHz, 294.54 W, 34
2026/09/11 14:13:12.454, 1965 MHz, 3996 MHz, 291.82 W, 35
2026/09/11 14:13:12.554, 1965 MHz, 3996 MHz, 305.44 W, 34
